Date	Sleep	SleepStage	ID	Session
20150608_06-38-08	sleep	2	4029	E1
20150608_06-38-38	sleep	1	4029	E1
20150608_06-39-08	sleep	2	4029	E1
20150608_06-39-38	sleep	2	4029	E1
20150608_06-40-08	sleep	2	4029	E1
20150608_06-40-38	sleep	2	4029	E1
20150608_06-41-08	sleep	2	4029	E1
20150608_06-41-38	sleep	2	4029	E1
20150608_06-42-08	sleep	2	4029	E1
20150608_06-42-38	sleep	2	4029	E1
20150608_06-43-08	sleep	2	4029	E1
20150608_06-43-38	sleep	2	4029	E1
20150608_06-44-08	sleep	2	4029	E1
20150608_06-44-38	sleep	2	4029	E1
20150608_06-45-08	sleep	2	4029	E1
20150608_06-45-38	sleep	2	4029	E1
20150608_06-46-08	sleep	2	4029	E1
20150608_06-46-38	sleep	2	4029	E1
20150608_06-47-08	sleep	2	4029	E1
20150608_06-47-38	sleep	2	4029	E1
20150608_06-48-08	sleep	2	4029	E1
20150608_06-48-38	sleep	2	4029	E1
20150608_06-49-08	sleep	2	4029	E1
20150608_06-49-38	sleep	2	4029	E1
20150608_06-50-08	sleep	2	4029	E1
20150608_06-50-38	sleep	2	4029	E1
20150608_06-51-08	sleep	2	4029	E1
20150608_06-51-38	sleep	2	4029	E1
20150608_06-52-08	sleep	2	4029	E1
20150608_06-52-38	sleep	3	4029	E1
20150608_06-53-08	sleep	3	4029	E1
20150608_06-53-38	sleep	3	4029	E1
20150608_06-54-08	sleep	3	4029	E1
20150608_06-54-38	sleep	3	4029	E1
20150608_06-55-08	sleep	3	4029	E1
20150608_06-55-38	sleep	3	4029	E1
20150608_06-56-08	sleep	3	4029	E1
20150608_06-56-38	sleep	3	4029	E1
20150608_06-57-08	sleep	3	4029	E1
20150608_06-57-38	sleep	3	4029	E1
20150608_06-58-08	sleep	3	4029	E1
20150608_06-58-38	sleep	3	4029	E1
20150608_06-59-08	sleep	3	4029	E1
20150608_06-59-38	sleep	3	4029	E1
20150608_07-00-08	sleep	3	4029	E1
20150608_07-00-38	sleep	3	4029	E1
20150608_07-01-08	sleep	3	4029	E1
20150608_07-01-38	sleep	3	4029	E1
20150608_07-02-08	sleep	3	4029	E1
20150608_07-02-38	sleep	3	4029	E1
20150608_07-03-08	sleep	3	4029	E1
20150608_07-03-38	sleep	3	4029	E1
20150608_07-04-08	sleep	3	4029	E1
20150608_07-04-38	sleep	3	4029	E1
20150608_07-05-08	sleep	3	4029	E1
20150608_07-05-38	sleep	3	4029	E1
20150608_07-06-08	sleep	3	4029	E1
20150608_07-06-38	sleep	3	4029	E1
20150608_07-07-08	sleep	3	4029	E1
20150608_07-07-38	sleep	3	4029	E1
20150608_07-08-08	sleep	3	4029	E1
20150608_07-08-38	sleep	3	4029	E1
20150608_07-09-08	sleep	3	4029	E1
20150608_07-09-38	sleep	3	4029	E1
20150608_07-10-08	sleep	3	4029	E1
20150608_07-10-38	sleep	3	4029	E1
20150608_07-11-08	sleep	3	4029	E1
20150608_07-11-38	sleep	3	4029	E1
20150608_07-12-08	sleep	3	4029	E1
20150608_07-12-38	sleep	3	4029	E1
20150608_07-13-08	sleep	3	4029	E1
20150608_07-13-38	sleep	3	4029	E1
20150608_07-14-08	sleep	3	4029	E1
20150608_07-14-38	sleep	3	4029	E1
20150608_07-15-08	sleep	3	4029	E1
20150608_07-15-38	sleep	3	4029	E1
20150608_07-16-08	sleep	3	4029	E1
20150608_07-16-38	sleep	3	4029	E1
20150608_07-17-08	sleep	3	4029	E1
20150608_07-17-38	sleep	3	4029	E1
20150608_07-18-08	sleep	3	4029	E1
20150608_07-18-38	sleep	3	4029	E1
20150608_07-19-08	sleep	3	4029	E1
20150608_07-19-38	sleep	3	4029	E1
20150608_07-20-08	sleep	3	4029	E1
20150608_07-20-38	sleep	4	4029	E1
20150608_07-21-08	sleep	3	4029	E1
20150608_07-21-38	sleep	3	4029	E1
20150608_07-22-08	sleep	3	4029	E1
20150608_07-22-38	sleep	3	4029	E1
20150608_07-23-08	sleep	3	4029	E1
20150608_07-23-38	sleep	3	4029	E1
20150608_07-24-08	sleep	3	4029	E1
20150608_07-24-38	sleep	3	4029	E1
20150608_07-25-08	sleep	3	4029	E1
20150608_07-25-38	sleep	3	4029	E1
20150608_07-26-08	sleep	3	4029	E1
20150608_07-26-38	sleep	3	4029	E1
20150608_07-27-08	sleep	3	4029	E1
20150608_07-27-38	sleep	4	4029	E1
20150608_07-28-08	sleep	4	4029	E1
20150608_07-28-38	sleep	4	4029	E1
20150608_07-28-38	sound	1015 at volume 36044.0	4029	E1
20150608_07-28-53	sound	1015 at volume 36044.0	4029	E1
20150608_07-29-08	sleep	4	4029	E1
20150608_07-29-08	sound	1015 at volume 36044.0	4029	E1
20150608_07-29-23	sound	1015 at volume 36044.0	4029	E1
20150608_07-29-38	sleep	4	4029	E1
20150608_07-29-38	sound	1015 at volume 36044.0	4029	E1
20150608_07-29-53	sound	1015 at volume 36044.0	4029	E1
20150608_07-30-08	sleep	4	4029	E1
20150608_07-30-08	sound	1015 at volume 36044.0	4029	E1
20150608_07-30-23	sound	1015 at volume 36044.0	4029	E1
20150608_07-30-38	sleep	4	4029	E1
20150608_07-30-38	sound	1004 at volume 36044.0	4029	E1
20150608_07-30-53	sound	1004 at volume 36044.0	4029	E1
20150608_07-31-08	sleep	4	4029	E1
20150608_07-31-08	sound	1004 at volume 36044.0	4029	E1
20150608_07-31-23	sound	1004 at volume 36044.0	4029	E1
20150608_07-31-38	sleep	4	4029	E1
20150608_07-31-38	sound	1004 at volume 36044.0	4029	E1
20150608_07-31-53	sound	1004 at volume 36044.0	4029	E1
20150608_07-32-08	sleep	4	4029	E1
20150608_07-32-08	sound	1004 at volume 36044.0	4029	E1
20150608_07-32-23	sound	1004 at volume 36044.0	4029	E1
20150608_07-32-38	sleep	4	4029	E1
20150608_07-32-38	sound	1015 at volume 36044.0	4029	E1
20150608_07-32-53	sound	1015 at volume 36044.0	4029	E1
20150608_07-33-08	sleep	4	4029	E1
20150608_07-33-08	sound	1015 at volume 36044.0	4029	E1
20150608_07-33-23	sound	1015 at volume 36044.0	4029	E1
20150608_07-33-38	sleep	4	4029	E1
20150608_07-33-38	sound	1015 at volume 36044.0	4029	E1
20150608_07-33-53	sound	1015 at volume 36044.0	4029	E1
20150608_07-34-08	sleep	4	4029	E1
20150608_07-34-08	sound	1015 at volume 36044.0	4029	E1
20150608_07-34-23	sound	1015 at volume 36044.0	4029	E1
20150608_07-34-38	sleep	4	4029	E1
20150608_07-34-38	sound	1004 at volume 36044.0	4029	E1
20150608_07-34-53	sound	1004 at volume 36044.0	4029	E1
20150608_07-35-08	sleep	4	4029	E1
20150608_07-35-08	sound	1004 at volume 36044.0	4029	E1
20150608_07-35-23	sound	1004 at volume 36044.0	4029	E1
20150608_07-35-38	sleep	4	4029	E1
20150608_07-35-38	sound	1004 at volume 36044.0	4029	E1
20150608_07-35-53	sound	1004 at volume 36044.0	4029	E1
20150608_07-36-08	sleep	4	4029	E1
20150608_07-36-08	sound	1004 at volume 36044.0	4029	E1
20150608_07-36-23	sound	1004 at volume 36044.0	4029	E1
20150608_07-36-38	sleep	4	4029	E1
20150608_07-36-38	sound	1015 at volume 36044.0	4029	E1
20150608_07-36-53	sound	1015 at volume 36044.0	4029	E1
20150608_07-37-08	sleep	4	4029	E1
20150608_07-37-08	sound	1015 at volume 36044.0	4029	E1
20150608_07-37-23	sound	1015 at volume 36044.0	4029	E1
20150608_07-37-38	sleep	4	4029	E1
20150608_07-37-38	sound	1015 at volume 36044.0	4029	E1
20150608_07-37-54	sound	1015 at volume 36044.0	4029	E1
20150608_07-38-08	sleep	4	4029	E1
20150608_07-38-09	sound	1015 at volume 36044.0	4029	E1
20150608_07-38-24	sound	1015 at volume 36044.0	4029	E1
20150608_07-38-38	sleep	4	4029	E1
20150608_07-38-39	sound	1004 at volume 36044.0	4029	E1
20150608_07-38-54	sound	1004 at volume 36044.0	4029	E1
20150608_07-39-08	sleep	4	4029	E1
20150608_07-39-09	sound	1004 at volume 36044.0	4029	E1
20150608_07-39-24	sound	1004 at volume 36044.0	4029	E1
20150608_07-39-38	sleep	4	4029	E1
20150608_07-39-39	sound	1004 at volume 36044.0	4029	E1
20150608_07-39-54	sound	1004 at volume 36044.0	4029	E1
20150608_07-40-08	sleep	4	4029	E1
20150608_07-40-09	sound	1004 at volume 36044.0	4029	E1
20150608_07-40-24	sound	1004 at volume 36044.0	4029	E1
20150608_07-40-38	sleep	4	4029	E1
20150608_07-40-39	sound	1015 at volume 36044.0	4029	E1
